Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-14-08-32-11,3.774%,,TP75,1,2,1,1500,40,25,22,3,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-16-29-59,0.32%,,TP50,7,1,4,1500,30,25,15,0,10,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-13-18-01,0.32%,,TP50,7,1,4,1500,30,25,15,0,10,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-14-21-33,0.32%,,TP50,7,1,4,1500,30,25,15,0,10,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-00-07,2.466%,,TP75,10,5,1,500,30,17,1,1,15,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-14-58-31,2.466%,,75,10,5,1,500,30,17,1,1,15,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-02-57,3.023%,,80,10,5,1,1500,20,16,1,1,14,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-13-04,3.023%,,80,10,5,1,1500,20,16,1,1,14,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-25-36,3.023%,,80,10,5,1,1000,20,16,1,1,14,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-15-51,3.023%,483.73€,80,10,5,1,1000,20,16,1,1,14,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
