Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-14-08-32-22,4.195%,,TP75,1,2,1,500,60,6,6,0,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-16-32-11,1.439%,,TP100,1,1,3,1500,60,6,2,1,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-13-20-29,1.439%,,TP100,1,1,3,1500,60,6,2,1,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-14-24-20,1.439%,,TP100,1,1,3,1500,60,6,2,1,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-02-10,2.19%,,TP75,1,5,1,500,30,5,0,1,4,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-14-58-36,2.19%,,75,1,5,1,500,30,5,0,1,4,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-03-27,3.535%,,60,1,5,1,500,0,4,0,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-13-04,3.535%,,60,1,5,1,500,0,4,0,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-25-36,3.535%,,60,1,5,1,1000,0,4,0,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-15-51,3.535%,141.38€,60,1,5,1,1000,0,4,0,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-23-02-10,3.535%,141.38€,60,1,5,1,1000,0,4,0,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
