Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-14-08-33-07,0.55%,,TP75,1,1,2,1500,20,48,42,3,3,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-16-43-11,-0.245%,,TP75,4,1,2,1500,30,50,29,1,20,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-13-32-55,-0.245%,,TP75,4,1,2,1500,30,50,29,1,20,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-14-37-05,-0.245%,,TP75,4,1,2,1500,30,50,29,1,20,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-11-44,-0.251%,,TP50,3,1,4,1500,50,53,39,6,8,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-14-58-58,-0.251%,,50,3,1,4,1500,50,53,39,6,8,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-05-25,-0.106%,,30,2,1,4,1500,0,28,22,4,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-13-04,-0.106%,,30,2,1,4,1500,0,28,22,4,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-25-36,-0.173%,,30,2,1,4,1000,0,28,22,4,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-15-51,-0.173%,-48.45€,30,2,1,4,1000,0,28,22,4,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
