Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-14-08-32-34,0.476%,,TP75,1,1,5,1500,80,71,56,11,4,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-16-35-35,0.117%,,TP30,6,1,4,1500,50,68,54,0,14,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-13-24-10,0.117%,,TP30,6,1,4,1500,50,68,54,0,14,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-14-28-16,0.117%,,TP30,6,1,4,1500,50,68,54,0,14,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-04-54,0.085%,,TP30,6,1,4,1500,30,41,38,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-21-36-18,0.085%,,30,6,1,4,1500,30,41,38,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-21-59-04,0.085%,,30,6,1,4,1500,30,41,38,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-22-00-42,-0.477%,,75,1,1,1,500,30,41,10,15,16,"[30, 50, 75]","range(1, 2)",[1],"range(1, 2)","range(500, 1000, 500)","range(30, 80, 10)"
2025-06-20-22-05-49,0.085%,,30,6,1,4,1500,30,41,38,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-22-14-36,0.085%,,30,6,1,4,1500,30,41,38,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
