Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-10-22-55-50,10.193%,,TP50,1,5,1,1000,70,16,14,2,0,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-10-23-01-16,16.525%,,TP75,1,5,1,1500,70,16,14,2,0,"['TP30', 'TP50', 'TP75']","range(1, 15)","[1, 2, 5]","range(1, 6)","range(500, 4000, 1000)","range(40, 100, 10)"
2025-06-10-23-02-18,22.857%,,TP100,1,5,1,2500,70,16,14,2,0,"['TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 6)","range(500, 4000, 1000)","range(40, 100, 10)"
2025-06-10-23-03-17,22.733%,,TP100,2,5,1,2500,70,16,14,2,0,"['TP50', 'TP75', 'TP100']","range(2, 15)","[1, 2, 5]","range(1, 6)","range(500, 4000, 1000)","range(40, 100, 10)"
2025-06-10-23-05-02,22.552%,,TP100,80,5,1,3500,70,16,14,0,2,"['TP50', 'TP75', 'TP100']","range(80, 100)","[1, 2, 5]","range(1, 6)","range(500, 4000, 1000)","range(40, 100, 10)"
2025-06-10-23-07-37,4.816%,,TP100,2,1,1,3500,70,16,14,0,2,"['TP50', 'TP75', 'TP100']","range(1, 20)",[1],"range(1, 6)","range(500, 4000, 1000)","range(40, 100, 10)"
2025-06-15-17-29-42,-0.345%,,TP50,1,1,4,1500,70,16,4,11,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-12-28-23,-0.345%,,TP50,1,1,4,1500,70,16,4,11,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-23-32,0.045%,,TP50,2,1,4,1500,30,12,5,5,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-39,0.045%,,50,2,1,4,1500,30,12,5,5,2,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-29-41,2.284%,,100,1,1,4,1500,0,3,1,1,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,2.216%,,100,1,1,4,1000,0,3,1,1,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,2.216%,,100,1,1,4,1000,0,3,1,1,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-18-01,2.216%,66.48€,100,1,1,4,1000,0,3,1,1,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-23-02-45,1.294%,77.65€,50,1,1,4,1000,10,6,4,2,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
