Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-13-21-10-47,2.752%,TP100,1,1,1,2500,30,5,5,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-14-16-19-03,2.65%,TP75,1,2,1,500,40,5,4,1,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-36-36,14.379%,TP100,3,5,1,500,40,5,5,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[1, 2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-42-45,14.379%,TP100,3,5,1,500,40,5,5,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-47-28,2.15%,TP100,3,5,1,500,40,5,5,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-47-46,12.37%,TP100,3,5,1,500,40,5,5,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-21-49-09,12.37%,TP100,3,5,1,500,40,5,5,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[1, 2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-17-33-09,-0.316%,TP30,2,1,2,1500,30,5,3,1,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-12-29-14,-0.316%,TP30,2,1,2,1500,30,5,3,1,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-24-15,-0.236%,TP30,2,1,1,1500,50,4,2,0,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-41,-0.236%,30,2,1,1,1500,50,4,2,0,2,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-29-54,1.73%,20,8,5,1,500,0,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,1.73%,20,8,5,1,1000,0,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,1.73%,20,8,5,1,1000,0,2,2,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
