Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-13-21-11-07,2.754%,,TP100,1,1,1,2500,30,3,3,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-14-16-19-09,3.465%,,TP75,1,2,1,500,40,3,3,0,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-36-54,14.705%,,TP100,1,5,1,1500,40,3,3,0,0,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[1, 2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-17-35-39,-0.494%,,TP100,1,1,1,1500,30,3,1,2,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-12-30-13,-0.494%,,TP100,1,1,1,1500,30,3,1,2,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-25-06,-0.494%,,TP100,1,1,1,1500,30,3,1,2,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-44,-0.494%,,100,1,1,1,1500,30,3,1,2,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-30-08,-0.037%,,20,5,1,1,1500,0,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,-0.103%,,20,5,1,1,1000,0,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,-0.103%,,20,5,1,1,1000,0,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-18-01,-0.103%,-1.03€,20,5,1,1,1000,0,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
