Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-11-22-39-34,3.984%,TP100,1.0,1,1,3500,20,1,1,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 10)",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-11-22-45-49,3.984%,TP100,0.5,1,1,3500,20,1,1,0,0,"['TP30', 'TP50', 'TP75', 'TP100']",[0.5 1.  1.5 2.  2.5 3.  3.5 4.  4.5],[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-11-22-47-38,3.984%,TP100,1.0,1,1,3500,20,1,1,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7
 2.8 2.9]",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-12-21-48-13,3.984%,TP100,1.0,1,1,3500,20,1,1,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-18-12-29-00,2.793%,TP100,1.0,1,4,1500,30,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-24-02,2.793%,TP100,1.0,1,4,1500,30,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-40,2.793%,100,1.0,1,4,1500,30,1,0,0,1,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-29-50,2.793%,80,1.0,1,4,1500,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,2.725%,80,1.0,1,4,1000,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,2.725%,80,1.0,1,4,1000,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
