Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-11-22-39-26,2.491%,,TP100,2.0,1,2,3500,80,15,12,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 10)",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-11-22-45-41,2.491%,,TP100,2.0,1,2,3500,80,15,12,0,3,"['TP30', 'TP50', 'TP75', 'TP100']",[0.5 1.  1.5 2.  2.5 3.  3.5 4.  4.5],[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-11-22-47-19,2.491%,,TP100,1.8000000000000007,1,2,3500,80,15,12,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","[1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7
 2.8 2.9]",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-12-21-48-05,2.491%,,TP100,3.0,1,2,3500,80,15,12,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-18-12-28-48,0.254%,,TP75,2.0,1,3,1500,40,14,6,2,6,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-23-52,1.248%,,TP100,2.0,1,3,1500,30,10,4,0,6,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-40,1.248%,,100,2.0,1,3,1500,30,10,4,0,6,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-29-45,1.331%,,80,2.0,1,3,1500,30,10,6,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,1.264%,,80,2.0,1,3,1000,30,10,6,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,1.264%,,80,2.0,1,3,1000,30,10,6,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-18-01,1.264%,126.39€,80,2.0,1,3,1000,30,10,6,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
