Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-09-18-26-08,4.595%,,TP50,19,5,1,3000,60,14,13,0,1,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-09-22-40-36,4.595%,,TP50,19,5,1,3000,60,14,13,0,1,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-15-16-18-55,-0.892%,,TP50,1,1,1,1500,30,14,1,11,2,"['TP30', 'TP50', 'TP75']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-15-20-10-47,-0.892%,,TP50,1,1,1,1500,30,14,1,11,2,"['TP30', 'TP50', 'TP75']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-12-24-45,-0.892%,,TP50,1,1,1,1500,30,14,1,11,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-20-16,-0.595%,,TP50,4,1,2,1500,30,9,2,0,7,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-29,-0.595%,,50,4,1,2,1500,30,9,2,0,7,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-28-51,0.027%,,20,3,1,1,1500,0,3,2,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-10,-0.04%,,20,3,1,1,1000,0,3,2,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,-0.04%,,20,3,1,1,1000,0,3,2,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-18-01,-0.04%,-1.19€,20,3,1,1,1000,0,3,2,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-23-02-45,-0.04%,-1.19€,20,3,1,1,1000,0,3,2,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
