Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-13-21-11-02,3.059%,,TP100,9,1,2,2500,70,21,19,0,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-14-16-19-07,3.419%,,TP75,1,2,2,500,80,21,17,4,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-20-36-50,14.07%,,TP100,1,5,1,500,80,21,17,2,2,"['TP50', 'TP75', 'TP100']","range(1, 20, 2)","[1, 2, 5]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-18-12-30-00,0.007%,,TP100,5,1,1,1500,60,20,4,0,16,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-19-23-24-55,0.469%,,TP100,5,1,1,1500,30,14,3,0,11,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-33-43,0.469%,,100,5,1,1,1500,30,14,3,0,11,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-30-04,1.882%,,90,4,1,4,1500,0,8,4,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-22-11,1.815%,,90,4,1,4,1000,0,8,4,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-23-31,1.815%,,90,4,1,4,1000,0,8,4,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-18-01,1.815%,145.19€,90,4,1,4,1000,0,8,4,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
