Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-14-08-25-04,2.136%,TP100,5,1,3,2500,30,6,5,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-14-08-33-55,0.765%,TP75,1,2,1,500,40,6,3,3,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-16-17-46,0.765%,TP75,1,2,1,500,40,6,3,3,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-14-16-18-09,0.765%,TP75,1,2,1,500,40,6,3,3,0,"['TP50', 'TP75']","range(1, 3, 2)","[1, 2]","range(1, 6)","range(500, 2000, 1000)","range(20, 100, 20)"
2025-06-15-16-56-10,-0.085%,TP75,8,1,3,1500,30,6,4,0,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-13-42-25,-0.085%,TP75,8,1,3,1500,30,6,4,0,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-18-14-51-45,-0.085%,TP75,8,1,3,1500,30,6,4,0,2,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-23-05,-0.39%,TP100,1,1,1,1500,30,4,2,2,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-14-59-23,-0.39%,100,1,1,1,1500,30,4,2,2,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-07-37,-0.22%,20,7,1,2,1500,20,4,4,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-13-04,-0.22%,20,7,1,2,1500,20,4,4,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-25-36,-0.287%,20,7,1,2,1000,20,4,4,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
