Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-09-16-21-05,8.565%,,TP50,5,5,4,3000,60,4,1,1,2,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-09-22-51-47,8.565%,,TP50,5,5,4,3000,60,4,1,1,2,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-15-16-59-35,3.43%,,TP100,4,5,1,1500,30,4,1,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 1000)","range(30, 100, 10)"
2025-06-18-12-44-23,3.43%,,TP100,4,5,1,1500,30,4,1,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-26-05,5.607%,,TP100,2,5,1,500,40,1,1,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-45-35,5.607%,,100,2,5,1,1500,40,1,1,0,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-16-42-44,5.607%,,100,2,5,1,1500,40,1,1,0,0,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-33-35,5.607%,,100,2,5,1,1500,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-26-21,5.607%,,100,2,5,1,1000,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-50-28,5.607%,,100,2,5,1,1000,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-27-21-54-47,5.607%,,100,2,5,1,1000,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-23-46,5.607%,56.07€,100,2,5,1,1000,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-22-57-16,5.607%,56.07€,100,2,5,1,1000,40,1,1,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
