Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-09-22-53-52,0.164%,,TP50,15,1,4,3000,90,50,39,0,11,"['TP30', 'TP50']","range(1, 41, 2)","[1, 2, 5]","range(1, 6)","range(1000, 4000, 1000)","range(60, 100, 10)"
2025-06-18-12-55-21,-0.275%,,TP30,6,1,3,1500,70,48,33,1,14,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-34-41,-0.274%,,TP30,7,1,4,1500,30,31,28,0,3,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-45-56,-0.274%,,30,7,1,4,1500,30,31,28,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-16-43-07,-0.274%,,30,7,1,4,1500,30,31,28,0,3,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-35-31,0.027%,,40,5,1,4,1500,0,15,14,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-26-21,-0.039%,,40,5,1,4,1000,0,15,14,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-50-29,-0.039%,,40,5,1,4,1000,0,15,14,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-23-47,-0.039%,-5.91€,40,5,1,4,1000,0,15,14,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-23-03-37,-0.039%,-5.91€,40,5,1,4,1000,0,15,14,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
