Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-11-22-40-44,0.485%,,TP30,1.0,1,5,3500,20,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 10)",[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-11-22-44-59,0.485%,,TP30,0.5,1,5,3500,20,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']",[0.5 1.  1.5 2.  2.5 3.  3.5 4.  4.5],[1],"range(1, 6)","range(500, 4000, 1000)","range(20, 100, 10)"
2025-06-18-13-02-51,0.15%,,TP30,1.0,1,4,1500,30,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-40-48,0.237%,,TP50,1.0,1,4,1500,30,1,0,0,1,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-46-09,0.237%,,50,1.0,1,4,1500,30,1,0,0,1,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-16-43-21,0.237%,,50,1.0,1,4,1500,30,1,0,0,1,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-36-43,0.237%,,50,1.0,1,4,1500,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-26-21,0.17%,,50,1.0,1,4,1000,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-50-28,0.17%,,50,1.0,1,4,1000,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-23-46,0.17%,1.7€,50,1.0,1,4,1000,0,1,0,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
