Action,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
2025-06-13-21-12-38,1.431%,,TP100,3,1,1,2500,30,9,9,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-13-21-30-15,1.431%,,TP100,3,1,1,2500,30,9,9,0,0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 20, 2)",[1],"range(1, 6)","range(500, 3000, 1000)","range(20, 100, 10)"
2025-06-18-13-03-32,0.317%,,TP100,2,1,1,1500,30,9,5,0,4,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-20-19-41-18,0.502%,,TP100,2,1,1,1500,30,7,3,0,4,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-15-46-11,0.502%,,100,2,1,1,1500,30,7,3,0,4,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-16-43-22,0.502%,,100,2,1,1,1500,30,7,3,0,4,"[30, 50, 75, 100]","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 2000, 500)","range(30, 80, 10)"
2025-06-21-18-36-52,0.739%,,100,2,1,1,1500,0,3,1,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(500, 1501, 500)","range(0, 100, 10)"
2025-06-22-17-26-21,0.672%,,100,2,1,1,1000,0,3,1,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-22-17-50-29,0.672%,,100,2,1,1,1000,0,3,1,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
2025-06-28-18-23-46,0.672%,20.15€,100,2,1,1,1000,0,3,1,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)"
