Action,Best profit,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values
32.18%,TP30,1.0,19.0,4.0,19.0,,,,45.0,2.0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 31)","range(1, 20)","range(1, 5)",,,
31.1%,TP30,1.0,19.0,2.0,16.0,,,,46.0,4.0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 31)","range(1, 20)","range(1, 5)",,,
31.1%,TP30,1.0,19.0,2.0,16.0,,,,46.0,4.0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 31)","range(1, 20)","range(1, 5)",,,
31.97%,TP30,1.0,19.0,4.0,18.0,,,,46.0,2.0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 31)","range(1, 20)","range(1, 5)",,,
31.02%,TP30,1.0,19.0,3.0,15.0,,,,47.0,4.0,"['TP30', 'TP50', 'TP75', 'TP100']","range(1, 31)","range(1, 20)","range(1, 5)",,,
26.14%,TP75,1.0,15.0,3.0,16.0,,,,46.0,4.0,"['TP30', 'TP50', 'TP75']","range(1, 21)","range(1, 16)","range(1, 5)",,,
0.57%,TP30,1.0,15.0,2.0,74.0,,,,147.0,3.0,"['TP30', 'TP50', 'TP75']","range(1, 21)","range(1, 16)","range(1, 5)",,,
2.03%,TP75,1.0,15.0,4.0,103.0,,,,108.0,13.0,"['TP30', 'TP50', 'TP75']","range(1, 21)","range(1, 16)","range(1, 5)",,,
1.1%,TP75,1.0,15.0,4.0,48.0,,,,175.0,1.0,"['TP30', 'TP50', 'TP75']","range(1, 2)","range(1, 16)","range(1, 5)",,,
1.1%,TP75,1.0,15.0,4.0,120.0,,,,85.0,19.0,"['TP30', 'TP50', 'TP75']","range(1, 30, 3)","range(1, 16)","range(1, 5)",,,
3.95%,TP50,2.0,15.0,4.0,26.0,,,,131.0,11.0,"['TP30', 'TP50', 'TP75']","range(2, 10, 3)","range(1, 16)","range(3, 5)",,,
1.39%,TP50,2.0,15.0,4.0,26.0,,,,131.0,11.0,"['TP30', 'TP50', 'TP75']","range(2, 10, 3)","range(1, 16)","range(1, 5)",,,
0.45%,TP30,1.0,15.0,3.0,42.0,,,,119.0,8.0,"['TP30', 'TP50']","range(1, 10)","range(1, 16)","range(1, 4)",,,
0.22%,TP30,1.0,10.0,3.0,52.0,,,,109.0,8.0,"['TP30', 'TP50']","range(1, 10)","range(1, 11)","range(1, 4)",,,
2.27%,TP50,49.0,7.0,3.0,83.0,,,,14.0,72.0,"['TP30', 'TP50']","range(47, 50)","range(1, 11)","range(1, 4)",,,
2.26%,TP50,49.0,7.0,3.0,85.0,,,,14.0,70.0,"['TP30', 'TP50']","range(47, 50)","range(1, 11)","range(1, 4)",,,
2025-05-31-12-26-58,2.27%,TP50,49.0,7.0,3.0,,,,83.0,14.0,72,"['TP30', 'TP50']","range(47, 50)","range(1, 11)","range(1, 4)",,
